year,total,residential,commercial,industrial,transport,others,utilities_or_own_use,power_losses
1993,26579,6368,4725,9395,0,721,1132,4238
1994,30459,7282,5865,10684,0,762,1132,4734
1995,33554,8223,6353,10950,0,1067,1226,5735
1996,36708,9150,7072,11851,27,1140,1340,6128
1997,39767,10477,7984,12531,29,1239,1471,6037
1998,41577,11936,8725,12543,29,905,1590,5849
1999,41431,11875,8901,12444,30,891,1536,5754
2000,45289,12894,9512,13191,55,902,2390,6345
2001,47049,13547,10098,14452,55,987,2196,5713
2002,48405,13715,10109,13628,58,1052,1928,7915
2003,52941,15357,11106,15188,37,1032,3410,6810
2004,55957,15920,11785,15012,67,1292,4653,7227
2005,56568,16031,12245,15705,91,1086,4591,6817
2006,56784,15830,12679,15888,97,1178,4227,6885
2007,59612,16376,13470,16522,107,1534,3994,7608
2008,60821,16644,14136,17031,110,1283,3935,7680
2009,61934,17504,14756,17084,111,1413,3524,7542
2010,67743,18833,16261,18576,109,1487,4677,7800
2011,69176,18694,16624,19334,111,1335,5398,7680
2012,72922,19695,17777,20071,117,1551,5351,8360
